Fecha,User_ID,Nombre,Rol,Evento,Resultado,Motivo
2026-02-25 17:32:33,9,Juancho,Usuario,,LOGIN_OK (web),
2026-02-25 17:32:48,9,Juancho,Usuario,,LOGIN_OK (web),
2026-02-25 17:47:07,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-25 17:47:21,10,Juano,Usuario,,LOGIN_OK (web),
2026-03-01 20:55:46,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 20:55:49,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 20:55:52,2,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 20:59:36,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 20:59:40,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 21:09:24,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 21:11:14,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-01 21:18:22,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-01 21:18:26,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-02 17:18:27,1,Administrador,Admin,,LOGIN_FAIL,Password incorrecto (web)
2026-03-02 17:20:17,1,Administrador,Admin,,LOGIN_FAIL,Password incorrecto (web)
2026-03-02 17:26:43,1,Administrador,Admin,,LOGIN_FAIL,Password incorrecto (web)
2026-03-02 17:29:56,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 17:30:21,2,juan,Usuario,,LOGIN_OK (web),
2026-03-02 17:33:39,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 17:44:33,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 17:49:08,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 17:51:14,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 18:00:46,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-02 18:00:49,1,DESCONOCIDO,,,LOGIN_FAIL,Usuario no existe (web)
2026-03-02 18:02:38,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 18:02:58,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-02 18:03:19,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 18:03:33,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 20:38:40,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-02 20:38:52,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-04 20:48:18,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 20:48:29,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-04 21:00:12,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:00:41,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-04 21:06:30,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:06:42,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:06:48,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-04 21:08:42,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:09:08,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:09:19,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-04 21:09:43,2,Juan,Usuario,,LOGIN_OK (web),
2026-03-05 16:42:47,1,Administrador,Admin,,LOGIN_OK (web),
2026-03-05 17:54:08,INVALID,INVALID,,,LOGIN_FAIL,Entrada inválida
2026-03-05 17:54:55,INVALID,INVALID,,,LOGIN_FAIL,Entrada inválida
2026-03-05 17:55:44,1,Administrador,Admin,,LOGIN_OK,
